source,block_index,task,trial_type,difficulty,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives,assessment_stage,chance_level,item_id,corpus_trial_type,d
EGMA,0,math,instructions,NA,math-instructions1,We are going to play some counting games and some number games. Are you ready?,NA,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA
EGMA,1,math,Number Identification,-2.5,number-identification-1,Choose the number you hear.,0,1,5000,1,practice,"3,6,9",practice_response,0.25,num-ident-1,number identification,NA
EGMA,1,math,Number Identification,-2.5,number-identification-2,Choose the number you hear.,1,2,5000,2,NA,"5,4,7",test_response,0.25,num-ident-2,number identification,-4.06457271096837
EGMA,1,math,Number Identification,-2.5,number-identification-3,Choose the number you hear.,2,9,5000,9,NA,"0,8,3",test_response,0.25,num-ident-9,number identification,-2.82121494220776
EGMA,1,math,Number Identification,-2.5,number-identification-4,Choose the number you hear.,3,0,5000,0,NA,"1,9,10",test_response,0.25,num-ident-0,number identification,-3.766049204567240
EGMA,1,math,Number Identification,-2.5,number-identification-5,Choose the number you hear.,4,12,5000,12,NA,"6,11,21",test_response,0.25,num-ident-12,number identification,-2.7988291702545800
EGMA,1,math,Number Identification,-2.5,number-identification-6,Choose the number you hear.,5,30,5000,30,NA,"20,60,13",test_response,0.25,num-ident-30,number identification,-3.010847313024020
EGMA,1,math,Number Identification,-2.5,number-identification-7,Choose the number you hear.,6,22,5000,22,NA,"44,52,20",test_response,0.25,num-ident-22,number identification,-2.89730954002974
EGMA,1,math,Number Identification,-2.5,number-identification-8,Choose the number you hear.,7,45,5000,45,NA,"65,54,40",test_response,0.25,num-ident-45,number identification,-2.2110768249101200
EGMA,1,math,Number Identification,-2.5,number-identification-9,Choose the number you hear.,8,39,5000,39,NA,"29,38,79",test_response,0.25,num-ident-39,number identification,-2.721685427491620
EGMA,1,math,Number Identification,-2.5,number-identification-10,Choose the number you hear.,9,23,5000,23,NA,"32,21,43",test_response,0.25,num-ident-23,number identification,-2.859608017233040
